1960,Viliam Široký,socialistický,rozvoj,národní,8372,82,,http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1960-1990-cssr/viliam-siroky/ppv-1960-1963-siroky.pdf
1954,Viliam Široký,výroba,rolník,mír,9194,90,,http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1945-1960-csr/viliam-siroky/ppv-1954-1960-siroky.pdf
1953,Viliam Široký,socialistický,pracující,sovětský,2848,28,,http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1945-1960-csr/antonin-zapotocky/ppv-1953-1954-siroky1.pdf
1948,Antonín Zápotocký,výroba,plán,pracující,3883,38,,http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1945-1960-csr/antonin-zapotocky/ppv-1948-1953-zapotocky.pdf
1948,Klement Gottwald,reakce,krize,republika,7660,75,,http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1945-1960-csr/klement-gottwald-2/ppv-1948-gottwald2.pdf
1946,Klement Gottwald,výroba,plán,pracovní,8871,86,,http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1945-1960-csr/klement-gottwald-1/ppv-1946-1948-gottwald1.pdf
1945,Zdeněk Fierlinger II,hospodářství,průmysl,výroba,3564,35,,http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1945-1960-csr/zdenek-fierlinger-2/ppv-1945-1946-fierlinger2.pdf
1945,Zdeněk Fierlinger I,republika,dekret,válka,8853,86,,http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1945-1960-csr/zdenek-fierlinger-1/ppv-1945-fierlinger1.pdf
1938,Rudolf Beran,národ,politik,úkol,4732,46,,http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1938-1939-csr/rudolf-beran/ppv-1938-1939-beran.pdf
1938,Jan Syrový,národní,téžký,úkol,1094,11,,http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1938-1939-csr/jan-syrovy/ppv-1938-syrovy.pdf
1935,Milan Hodža,pokračovat,vnitřní,akční,152,1,,http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1918-1938-csr/milan-hodza-1/ppv-1935-hodza1.pdf
1935,Jan Malypetr,vývoz,výroba,československý,4332,42,,http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1918-1938-csr/jan-malypetr-3/ppv-1935-malypetr3.pdf
1932,Jan Maypetr,výdaj,hospodářství,osobní,1360,13,,http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1918-1938-csr/jan-malypetr-1/ppv-1932-1934-malypetr1.pdf
1929,František Udržal II,krise,mezinárodní,úkol,1653,16,,http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1918-1938-csr/frantisek-udrzal-2/ppv-1929-1932-udrzal2.pdf
1929,František Udržal I,správa,průmysl,finanční,996,10,,http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1918-1938-csr/frantisek-udrzal-1/ppv-1929-udrzal1.pdf
1926,Antonín Švehla,řešení,úkol,národní,689,7,,http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1918-1938-csr/antonin-svehla-3/ppv-1926-1929-svehla3.pdf
1926,Jan Černý,slavný,sněmovna,předseda,160,2,,http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1918-1938-csr/jan-cerny-2/ppv-1926-cerny2.pdf
1925,Antonín Švehla,reforma,národní,práce,5351,52,,http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1918-1938-csr/antonin-svehla-2/ppv-1925-1926-svehla2.pdf
1922,Antonín Švehla,správa,obyvatelstvo,Slovensko,2765,27,,http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1918-1938-csr/antonin-svehla-1/ppv-1922-1925-svehla.pdf
1921,Edvard Beneš,politik,sociální,otázka,3027,29,,http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1918-1938-csr/edvard-benes/ppv-1921-1922-benes.pdf
1920,Jan Černý,sociální,otázka,úkol,4086,40,,http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1918-1938-csr/jan-cerny-1/ppv-1920-1921-cerny.pdf
1920,Vlastimil Tusar,organisace,německý,národní,2843,28,,http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1918-1938-csr/vlastimil-tusar-2/ppv-tusar2-1920.pdf
1919,Vlastimil Tusar,národní,Slovensko,úkol,1715,17,,http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1918-1938-csr/vlastimil-tusar-1/ppv-tusar-1919-1920.pdf
1918,Karel Kramář,válka,republika,národní,925,9,,http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1918-1938-csr/karel-kramar/ppv-Kramar-1918-1919.pdf
