http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1945-1960-csr/klement-gottwald-1/ppv-1946-1948-gottwald1.pdf,1946,Klement Gottwald
http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1945-1960-csr/zdenek-fierlinger-2/ppv-1945-1946-fierlinger2.pdf,1945,Zdeněk Fierlinger II
http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1945-1960-csr/zdenek-fierlinger-1/ppv-1945-fierlinger1.pdf,1945,Zdeněk Fierlinger I
http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1938-1939-csr/rudolf-beran/ppv-1938-1939-beran.pdf,1938,Rudolf Beran
http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1938-1939-csr/jan-syrovy/ppv-1938-syrovy.pdf,1938,Jan Syrový
http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1918-1938-csr/milan-hodza-1/ppv-1935-hodza1.pdf,1935,Milan Hodža
http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1918-1938-csr/jan-malypetr-3/ppv-1935-malypetr3.pdf,1935,Jan Malypetr
http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1918-1938-csr/jan-malypetr-1/ppv-1932-1934-malypetr1.pdf,1932,Jan Maypetr
http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1918-1938-csr/frantisek-udrzal-2/ppv-1929-1932-udrzal2.pdf,1929,František Udržal II
http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1918-1938-csr/frantisek-udrzal-1/ppv-1929-udrzal1.pdf,1929,František Udržal I
http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1918-1938-csr/antonin-svehla-3/ppv-1926-1929-svehla3.pdf,1926,Antonín Švehla
http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1918-1938-csr/jan-cerny-2/ppv-1926-cerny2.pdf,1926,Jan Černý
http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1918-1938-csr/antonin-svehla-2/ppv-1925-1926-svehla2.pdf,1925,Antonín Švehla
http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1918-1938-csr/antonin-svehla-1/ppv-1922-1925-svehla.pdf,1922,Antonín Švehla
http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1918-1938-csr/edvard-benes/ppv-1921-1922-benes.pdf,1921,Edvard Beneš
http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1918-1938-csr/jan-cerny-1/ppv-1920-1921-cerny.pdf,1920,Jan Černý
http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1918-1938-csr/vlastimil-tusar-2/ppv-tusar2-1920.pdf,1920,Vlastimil Tusar
http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1918-1938-csr/vlastimil-tusar-1/ppv-tusar-1919-1920.pdf,1919,Vlastimil Tusar
http://www.vlada.cz/assets/clenove-vlady/historie-minulych-vlad/prehled-vlad-cr/1918-1938-csr/karel-kramar/ppv-Kramar-1918-1919.pdf,1918,Karel Kramář
